employee_id,medical_plan,dental_plan,vision_plan,retirement_401k,employee_premium,employer_premium
E0001,Standard PPO,Yes,Yes,No,180,500
E0002,Standard PPO,No,Yes,Yes,180,500
E0003,Premium PPO,No,Yes,Yes,260,750
E0004,Basic PPO,No,No,Yes,120,350
E0005,Standard PPO,No,Yes,Yes,180,500
E0006,Basic PPO,Yes,Yes,Yes,120,350
E0007,Basic PPO,Yes,Yes,Yes,120,350
E0008,Standard PPO,Yes,No,Yes,180,500
E0009,Premium PPO,Yes,Yes,No,260,750
E0010,Standard PPO,Yes,Yes,No,180,500
E0011,Basic PPO,Yes,No,Yes,120,350
E0012,HDHP,No,Yes,Yes,90,300
E0013,Standard PPO,Yes,Yes,No,180,500
E0014,Standard PPO,Yes,Yes,Yes,180,500
E0015,Standard PPO,No,Yes,No,180,500
E0016,Premium PPO,Yes,Yes,Yes,260,750
E0017,Standard PPO,Yes,Yes,Yes,180,500
E0018,Standard PPO,Yes,Yes,No,180,500
E0019,Standard PPO,Yes,No,Yes,180,500
E0020,Standard PPO,No,No,Yes,180,500
E0021,Standard PPO,Yes,No,Yes,180,500
E0022,Basic PPO,Yes,Yes,Yes,120,350
E0023,Basic PPO,Yes,Yes,No,120,350
E0024,Premium PPO,Yes,No,Yes,260,750
E0025,Basic PPO,Yes,Yes,Yes,120,350
E0026,HDHP,Yes,Yes,Yes,90,300
E0027,Basic PPO,Yes,Yes,No,120,350
E0028,Basic PPO,Yes,No,Yes,120,350
E0029,Standard PPO,Yes,No,No,180,500
E0030,Basic PPO,No,Yes,No,120,350
E0031,Premium PPO,Yes,No,Yes,260,750
E0032,Basic PPO,Yes,Yes,No,120,350
E0033,HDHP,Yes,Yes,Yes,90,300
E0034,Standard PPO,Yes,Yes,Yes,180,500
E0035,Premium PPO,Yes,Yes,Yes,260,750
E0036,Premium PPO,Yes,No,Yes,260,750
E0037,Standard PPO,Yes,No,Yes,180,500
E0038,Standard PPO,No,Yes,Yes,180,500
E0039,Standard PPO,Yes,Yes,Yes,180,500
E0040,Basic PPO,Yes,Yes,Yes,120,350
E0041,HDHP,Yes,No,No,90,300
E0042,Standard PPO,No,Yes,Yes,180,500
E0043,Premium PPO,No,Yes,No,260,750
E0044,Basic PPO,Yes,Yes,Yes,120,350
E0045,Standard PPO,Yes,No,Yes,180,500
E0046,Basic PPO,Yes,Yes,Yes,120,350
E0047,Premium PPO,No,No,Yes,260,750
E0048,Premium PPO,Yes,Yes,No,260,750
E0049,Basic PPO,Yes,No,Yes,120,350
E0050,Standard PPO,No,No,Yes,180,500
E0051,Standard PPO,Yes,Yes,No,180,500
E0052,Premium PPO,No,No,Yes,260,750
E0053,Premium PPO,No,Yes,Yes,260,750
E0054,Standard PPO,Yes,Yes,Yes,180,500
E0055,Standard PPO,Yes,No,No,180,500
E0056,Basic PPO,No,No,No,120,350
E0057,Basic PPO,No,No,Yes,120,350
E0058,HDHP,Yes,Yes,No,90,300
E0059,Standard PPO,Yes,Yes,Yes,180,500
E0060,Premium PPO,No,Yes,Yes,260,750
E0061,Standard PPO,Yes,Yes,Yes,180,500
E0062,HDHP,Yes,Yes,No,90,300
E0063,HDHP,Yes,Yes,No,90,300
E0064,HDHP,Yes,Yes,Yes,90,300
E0065,Premium PPO,No,Yes,Yes,260,750
E0066,Premium PPO,Yes,Yes,No,260,750
E0067,Basic PPO,Yes,Yes,Yes,120,350
E0068,Basic PPO,Yes,No,Yes,120,350
E0069,HDHP,Yes,No,No,90,300
E0070,Basic PPO,No,Yes,No,120,350
E0071,Premium PPO,Yes,No,Yes,260,750
E0072,Premium PPO,Yes,Yes,Yes,260,750
E0073,Premium PPO,No,Yes,Yes,260,750
E0074,Basic PPO,No,No,Yes,120,350
E0075,Standard PPO,No,Yes,No,180,500
E0076,Basic PPO,No,Yes,Yes,120,350
E0077,Standard PPO,No,Yes,Yes,180,500
E0078,Premium PPO,Yes,No,Yes,260,750
E0079,Basic PPO,Yes,Yes,Yes,120,350
E0080,Standard PPO,No,Yes,Yes,180,500
E0081,HDHP,Yes,Yes,No,90,300
E0082,Premium PPO,No,No,Yes,260,750
E0083,Premium PPO,Yes,Yes,Yes,260,750
E0084,Basic PPO,Yes,Yes,Yes,120,350
E0085,Premium PPO,No,Yes,Yes,260,750
E0086,Basic PPO,Yes,No,Yes,120,350
E0087,Premium PPO,Yes,No,No,260,750
E0088,Premium PPO,Yes,No,No,260,750
E0089,HDHP,Yes,Yes,Yes,90,300
E0090,HDHP,No,Yes,No,90,300
E0091,Premium PPO,Yes,Yes,Yes,260,750
E0092,HDHP,Yes,No,Yes,90,300
E0093,Premium PPO,Yes,Yes,No,260,750
E0094,Standard PPO,Yes,No,Yes,180,500
E0095,Standard PPO,Yes,No,No,180,500
E0096,Basic PPO,No,Yes,Yes,120,350
E0097,Premium PPO,Yes,Yes,Yes,260,750
E0098,HDHP,No,Yes,Yes,90,300
E0099,Standard PPO,Yes,No,No,180,500
E0100,HDHP,Yes,Yes,Yes,90,300
E0101,Standard PPO,No,Yes,Yes,180,500
E0102,Standard PPO,Yes,Yes,Yes,180,500
E0103,Premium PPO,Yes,No,Yes,260,750
E0104,Basic PPO,No,Yes,Yes,120,350
E0105,Standard PPO,Yes,Yes,No,180,500
E0106,Standard PPO,Yes,Yes,No,180,500
E0107,Basic PPO,Yes,Yes,Yes,120,350
E0108,Standard PPO,Yes,Yes,No,180,500
E0109,Standard PPO,Yes,Yes,No,180,500
E0110,HDHP,No,No,No,90,300
E0111,Premium PPO,No,No,Yes,260,750
E0112,Standard PPO,Yes,Yes,Yes,180,500
E0113,Basic PPO,Yes,Yes,Yes,120,350
E0114,HDHP,No,No,No,90,300
E0115,Premium PPO,Yes,Yes,Yes,260,750
E0116,Premium PPO,Yes,Yes,Yes,260,750
E0117,Basic PPO,Yes,No,Yes,120,350
E0118,Standard PPO,Yes,Yes,Yes,180,500
E0119,Basic PPO,No,No,Yes,120,350
E0120,Premium PPO,Yes,No,No,260,750
E0121,Standard PPO,Yes,Yes,No,180,500
E0122,Standard PPO,Yes,Yes,Yes,180,500
E0123,Premium PPO,No,Yes,Yes,260,750
E0124,Basic PPO,Yes,Yes,No,120,350
E0125,Standard PPO,Yes,No,No,180,500
E0126,Basic PPO,Yes,Yes,Yes,120,350
E0127,Premium PPO,No,Yes,Yes,260,750
E0128,Basic PPO,Yes,Yes,No,120,350
E0129,Standard PPO,No,No,No,180,500
E0130,Premium PPO,Yes,No,Yes,260,750
E0131,HDHP,No,No,No,90,300
E0132,Standard PPO,No,Yes,Yes,180,500
E0133,Premium PPO,Yes,Yes,No,260,750
E0134,Basic PPO,Yes,Yes,No,120,350
E0135,Premium PPO,Yes,Yes,No,260,750
E0136,Standard PPO,Yes,Yes,No,180,500
E0137,Standard PPO,Yes,Yes,Yes,180,500
E0138,Standard PPO,Yes,No,No,180,500
E0139,Basic PPO,Yes,Yes,Yes,120,350
E0140,Standard PPO,Yes,Yes,Yes,180,500
E0141,Premium PPO,No,No,No,260,750
E0142,Basic PPO,Yes,Yes,Yes,120,350
E0143,Standard PPO,No,Yes,No,180,500
E0144,Basic PPO,Yes,Yes,Yes,120,350
E0145,HDHP,Yes,No,No,90,300
E0146,Premium PPO,No,Yes,No,260,750
E0147,Premium PPO,Yes,Yes,Yes,260,750
E0148,Premium PPO,Yes,Yes,Yes,260,750
E0149,Basic PPO,Yes,Yes,Yes,120,350
E0150,Standard PPO,Yes,Yes,No,180,500
E0151,Basic PPO,Yes,Yes,No,120,350
E0152,Standard PPO,Yes,Yes,Yes,180,500
E0153,HDHP,No,No,Yes,90,300
E0154,Standard PPO,Yes,Yes,Yes,180,500
E0155,Basic PPO,Yes,Yes,No,120,350
E0156,Basic PPO,No,Yes,Yes,120,350
E0157,Premium PPO,Yes,Yes,Yes,260,750
E0158,Standard PPO,Yes,Yes,Yes,180,500
E0159,Standard PPO,Yes,No,No,180,500
E0160,Premium PPO,Yes,No,Yes,260,750
E0161,Premium PPO,Yes,No,Yes,260,750
E0162,Basic PPO,Yes,No,Yes,120,350
E0163,Basic PPO,Yes,Yes,Yes,120,350
E0164,Standard PPO,No,Yes,Yes,180,500
E0165,Standard PPO,Yes,No,Yes,180,500
E0166,Standard PPO,Yes,No,Yes,180,500
E0167,Standard PPO,Yes,No,Yes,180,500
E0168,Basic PPO,Yes,No,Yes,120,350
E0169,Standard PPO,Yes,No,Yes,180,500
E0170,Premium PPO,No,Yes,Yes,260,750
E0171,Standard PPO,Yes,Yes,No,180,500
E0172,Standard PPO,Yes,No,Yes,180,500
E0173,Standard PPO,Yes,Yes,Yes,180,500
E0174,Basic PPO,Yes,No,Yes,120,350
E0175,Standard PPO,Yes,No,Yes,180,500
E0176,Premium PPO,Yes,Yes,Yes,260,750
E0177,Basic PPO,No,No,Yes,120,350
E0178,Standard PPO,Yes,Yes,Yes,180,500
E0179,Standard PPO,Yes,Yes,Yes,180,500
E0180,Basic PPO,Yes,Yes,Yes,120,350
E0181,Basic PPO,Yes,Yes,No,120,350
E0182,Basic PPO,No,No,No,120,350
E0183,Premium PPO,Yes,No,No,260,750
E0184,Standard PPO,No,Yes,Yes,180,500
E0185,Premium PPO,No,Yes,Yes,260,750
E0186,Standard PPO,Yes,Yes,No,180,500
E0187,Standard PPO,Yes,No,Yes,180,500
E0188,Premium PPO,No,Yes,No,260,750
E0189,Standard PPO,Yes,Yes,No,180,500
E0190,Premium PPO,Yes,Yes,No,260,750
E0191,Standard PPO,Yes,No,Yes,180,500
E0192,Basic PPO,Yes,Yes,No,120,350
E0193,Standard PPO,Yes,Yes,Yes,180,500
E0194,Premium PPO,No,No,No,260,750
E0195,HDHP,Yes,Yes,Yes,90,300
E0196,HDHP,Yes,Yes,No,90,300
E0197,Premium PPO,Yes,Yes,Yes,260,750
E0198,Standard PPO,Yes,Yes,Yes,180,500
E0199,Basic PPO,No,No,Yes,120,350
E0200,Basic PPO,No,Yes,Yes,120,350
E0201,Basic PPO,Yes,No,Yes,120,350
E0202,HDHP,No,Yes,No,90,300
E0203,HDHP,No,Yes,Yes,90,300
E0204,Basic PPO,Yes,No,No,120,350
E0205,Premium PPO,No,Yes,Yes,260,750
E0206,Premium PPO,Yes,No,Yes,260,750
E0207,Standard PPO,Yes,Yes,No,180,500
E0208,Standard PPO,Yes,No,No,180,500
E0209,Premium PPO,No,Yes,No,260,750
E0210,HDHP,Yes,Yes,No,90,300
E0211,Standard PPO,No,Yes,No,180,500
E0212,Premium PPO,No,No,Yes,260,750
E0213,Standard PPO,Yes,Yes,Yes,180,500
E0214,Standard PPO,Yes,Yes,No,180,500
E0215,Standard PPO,Yes,No,No,180,500
E0216,Standard PPO,Yes,Yes,No,180,500
E0217,Basic PPO,Yes,Yes,Yes,120,350
E0218,Standard PPO,Yes,Yes,Yes,180,500
E0219,Premium PPO,Yes,Yes,No,260,750
E0220,Basic PPO,Yes,No,Yes,120,350
E0221,HDHP,Yes,Yes,Yes,90,300
E0222,Standard PPO,No,Yes,No,180,500
E0223,HDHP,Yes,Yes,Yes,90,300
E0224,Standard PPO,Yes,Yes,Yes,180,500
E0225,Standard PPO,No,Yes,Yes,180,500
E0226,Basic PPO,Yes,Yes,No,120,350
E0227,Standard PPO,No,Yes,Yes,180,500
E0228,Premium PPO,Yes,Yes,Yes,260,750
E0229,Basic PPO,Yes,Yes,Yes,120,350
E0230,Premium PPO,No,Yes,Yes,260,750
E0231,Standard PPO,Yes,No,No,180,500
E0232,Standard PPO,Yes,No,No,180,500
E0233,Standard PPO,Yes,Yes,Yes,180,500
E0234,Standard PPO,Yes,Yes,No,180,500
E0235,Standard PPO,No,Yes,No,180,500
E0236,Basic PPO,Yes,Yes,No,120,350
E0237,Standard PPO,Yes,Yes,Yes,180,500
E0238,Standard PPO,Yes,No,Yes,180,500
E0239,Basic PPO,Yes,Yes,Yes,120,350
E0240,Basic PPO,Yes,No,Yes,120,350
E0241,Premium PPO,Yes,No,Yes,260,750
E0242,Basic PPO,No,Yes,Yes,120,350
E0243,HDHP,Yes,Yes,No,90,300
E0244,Premium PPO,Yes,Yes,Yes,260,750
E0245,HDHP,Yes,Yes,No,90,300
E0246,Standard PPO,No,Yes,Yes,180,500
E0247,Standard PPO,Yes,No,No,180,500
E0248,Basic PPO,Yes,Yes,Yes,120,350
E0249,Premium PPO,Yes,No,Yes,260,750
E0250,Standard PPO,Yes,No,Yes,180,500
E0251,Basic PPO,Yes,Yes,Yes,120,350
E0252,Standard PPO,No,Yes,Yes,180,500
E0253,Standard PPO,Yes,No,Yes,180,500
E0254,Basic PPO,No,Yes,Yes,120,350
E0255,HDHP,Yes,Yes,No,90,300
E0256,Standard PPO,Yes,No,No,180,500
E0257,Standard PPO,Yes,Yes,Yes,180,500
E0258,Standard PPO,Yes,No,Yes,180,500
E0259,Basic PPO,Yes,Yes,Yes,120,350
E0260,Basic PPO,No,No,No,120,350
E0261,Standard PPO,Yes,Yes,Yes,180,500
E0262,Premium PPO,Yes,Yes,No,260,750
E0263,Basic PPO,Yes,Yes,No,120,350
E0264,Premium PPO,Yes,No,No,260,750
E0265,Premium PPO,No,Yes,Yes,260,750
E0266,Standard PPO,Yes,No,Yes,180,500
E0267,Standard PPO,Yes,Yes,Yes,180,500
E0268,Basic PPO,Yes,Yes,Yes,120,350
E0269,Basic PPO,Yes,No,Yes,120,350
E0270,Premium PPO,Yes,No,No,260,750
E0271,Basic PPO,No,Yes,No,120,350
E0272,Standard PPO,Yes,No,Yes,180,500
E0273,Standard PPO,Yes,Yes,No,180,500
E0274,Premium PPO,Yes,No,Yes,260,750
E0275,Premium PPO,Yes,Yes,Yes,260,750
E0276,Standard PPO,Yes,No,Yes,180,500
E0277,Standard PPO,Yes,No,Yes,180,500
E0278,Premium PPO,Yes,Yes,Yes,260,750
E0279,Standard PPO,Yes,Yes,Yes,180,500
E0280,Standard PPO,No,Yes,Yes,180,500
E0281,Basic PPO,Yes,Yes,Yes,120,350
E0282,Premium PPO,Yes,No,Yes,260,750
E0283,Premium PPO,Yes,Yes,Yes,260,750
E0284,Standard PPO,Yes,No,No,180,500
E0285,HDHP,Yes,Yes,No,90,300
E0286,Standard PPO,Yes,Yes,Yes,180,500
E0287,Standard PPO,Yes,Yes,Yes,180,500
E0288,Basic PPO,Yes,Yes,Yes,120,350
E0289,Basic PPO,Yes,No,Yes,120,350
E0290,Standard PPO,Yes,Yes,Yes,180,500
E0291,Premium PPO,Yes,Yes,No,260,750
E0292,HDHP,Yes,Yes,Yes,90,300
E0293,Premium PPO,No,No,Yes,260,750
E0294,Standard PPO,Yes,Yes,Yes,180,500
E0295,Premium PPO,Yes,Yes,Yes,260,750
E0296,HDHP,Yes,Yes,No,90,300
E0297,Standard PPO,Yes,No,Yes,180,500
E0298,Premium PPO,Yes,Yes,Yes,260,750
E0299,Standard PPO,Yes,No,No,180,500
E0300,Premium PPO,Yes,No,Yes,260,750
E0301,HDHP,Yes,Yes,Yes,90,300
E0302,Standard PPO,Yes,Yes,No,180,500
E0303,Standard PPO,Yes,Yes,Yes,180,500
E0304,Standard PPO,Yes,Yes,Yes,180,500
E0305,HDHP,Yes,No,No,90,300
E0306,Standard PPO,Yes,Yes,No,180,500
E0307,Standard PPO,Yes,Yes,Yes,180,500
E0308,Standard PPO,Yes,Yes,Yes,180,500
E0309,Standard PPO,No,No,No,180,500
E0310,Standard PPO,No,Yes,Yes,180,500
E0311,Basic PPO,No,Yes,Yes,120,350
E0312,Basic PPO,Yes,No,No,120,350
E0313,Premium PPO,Yes,Yes,Yes,260,750
E0314,Standard PPO,Yes,Yes,Yes,180,500
E0315,HDHP,No,Yes,Yes,90,300
E0316,Standard PPO,Yes,No,Yes,180,500
E0317,Standard PPO,Yes,No,Yes,180,500
E0318,Premium PPO,Yes,Yes,Yes,260,750
E0319,Premium PPO,Yes,Yes,Yes,260,750
E0320,Standard PPO,No,Yes,Yes,180,500
E0321,Standard PPO,Yes,Yes,Yes,180,500
E0322,Basic PPO,Yes,Yes,No,120,350
E0323,Basic PPO,No,Yes,No,120,350
E0324,Standard PPO,Yes,Yes,Yes,180,500
E0325,Premium PPO,Yes,Yes,Yes,260,750
E0326,Standard PPO,Yes,Yes,No,180,500
E0327,Premium PPO,Yes,Yes,Yes,260,750
E0328,Basic PPO,Yes,Yes,Yes,120,350
E0329,HDHP,Yes,Yes,Yes,90,300
E0330,HDHP,Yes,Yes,No,90,300
E0331,Premium PPO,Yes,No,Yes,260,750
E0332,Basic PPO,Yes,Yes,Yes,120,350
E0333,Premium PPO,No,Yes,No,260,750
E0334,Standard PPO,Yes,Yes,Yes,180,500
E0335,Basic PPO,No,Yes,Yes,120,350
E0336,HDHP,No,Yes,Yes,90,300
E0337,Basic PPO,Yes,No,No,120,350
E0338,Basic PPO,No,Yes,No,120,350
E0339,Basic PPO,Yes,Yes,No,120,350
E0340,Standard PPO,No,No,Yes,180,500
E0341,Premium PPO,Yes,Yes,No,260,750
E0342,Standard PPO,No,Yes,Yes,180,500
E0343,HDHP,Yes,No,Yes,90,300
E0344,Basic PPO,Yes,Yes,No,120,350
E0345,Standard PPO,Yes,No,No,180,500
E0346,Premium PPO,Yes,No,Yes,260,750
E0347,Standard PPO,Yes,Yes,No,180,500
E0348,HDHP,Yes,Yes,Yes,90,300
E0349,Basic PPO,Yes,Yes,No,120,350
E0350,Premium PPO,Yes,Yes,Yes,260,750
E0351,Standard PPO,Yes,Yes,No,180,500
E0352,Basic PPO,Yes,Yes,No,120,350
E0353,Standard PPO,Yes,Yes,Yes,180,500
E0354,HDHP,Yes,Yes,No,90,300
E0355,Standard PPO,Yes,Yes,No,180,500
E0356,HDHP,No,Yes,No,90,300
E0357,Standard PPO,No,Yes,Yes,180,500
E0358,Premium PPO,Yes,Yes,Yes,260,750
E0359,Premium PPO,Yes,No,Yes,260,750
E0360,Premium PPO,Yes,Yes,Yes,260,750
E0361,HDHP,Yes,No,No,90,300
E0362,Standard PPO,No,Yes,Yes,180,500
E0363,Standard PPO,Yes,Yes,Yes,180,500
E0364,Standard PPO,Yes,Yes,Yes,180,500
E0365,Basic PPO,Yes,Yes,Yes,120,350
E0366,Standard PPO,Yes,No,Yes,180,500
E0367,Basic PPO,No,Yes,Yes,120,350
E0368,Standard PPO,Yes,No,Yes,180,500
E0369,Standard PPO,Yes,No,No,180,500
E0370,Premium PPO,Yes,No,Yes,260,750
E0371,Basic PPO,Yes,Yes,Yes,120,350
E0372,Standard PPO,No,Yes,Yes,180,500
E0373,Standard PPO,No,No,No,180,500
E0374,Premium PPO,Yes,Yes,Yes,260,750
E0375,Standard PPO,No,Yes,No,180,500
E0376,Basic PPO,Yes,Yes,Yes,120,350
E0377,Premium PPO,No,Yes,No,260,750
E0378,Premium PPO,No,Yes,Yes,260,750
E0379,Basic PPO,Yes,Yes,No,120,350
E0380,Standard PPO,Yes,No,Yes,180,500
E0381,HDHP,Yes,No,Yes,90,300
E0382,Premium PPO,Yes,Yes,Yes,260,750
E0383,HDHP,Yes,No,No,90,300
E0384,Premium PPO,No,Yes,No,260,750
E0385,Premium PPO,Yes,No,Yes,260,750
E0386,Premium PPO,No,No,Yes,260,750
E0387,Standard PPO,Yes,Yes,Yes,180,500
E0388,Premium PPO,No,Yes,Yes,260,750
E0389,Standard PPO,Yes,Yes,Yes,180,500
E0390,Standard PPO,Yes,Yes,Yes,180,500
E0391,Premium PPO,No,Yes,Yes,260,750
E0392,Basic PPO,Yes,No,No,120,350
E0393,Basic PPO,No,Yes,No,120,350
E0394,Standard PPO,Yes,Yes,Yes,180,500
E0395,Premium PPO,No,No,Yes,260,750
E0396,Premium PPO,Yes,No,Yes,260,750
E0397,Premium PPO,Yes,Yes,No,260,750
E0398,Premium PPO,Yes,Yes,Yes,260,750
E0399,HDHP,Yes,Yes,Yes,90,300
E0400,Basic PPO,Yes,Yes,Yes,120,350
E0401,Standard PPO,Yes,Yes,Yes,180,500
E0402,Standard PPO,No,Yes,Yes,180,500
E0403,HDHP,Yes,No,Yes,90,300
E0404,Premium PPO,Yes,No,No,260,750
E0405,Basic PPO,Yes,Yes,Yes,120,350
E0406,Basic PPO,Yes,No,No,120,350
E0407,Premium PPO,Yes,No,No,260,750
E0408,Standard PPO,Yes,Yes,Yes,180,500
E0409,Basic PPO,Yes,Yes,No,120,350
E0410,Basic PPO,Yes,No,Yes,120,350
E0411,Premium PPO,Yes,Yes,No,260,750
E0412,Basic PPO,Yes,Yes,Yes,120,350
E0413,Premium PPO,No,Yes,Yes,260,750
E0414,Basic PPO,No,Yes,Yes,120,350
E0415,Premium PPO,Yes,Yes,Yes,260,750
E0416,HDHP,Yes,Yes,Yes,90,300
